Car_Name,Year,Selling_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
TVS Apache RTR 160,2014,0.42,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,0.42,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,0.4,14000,Petrol,Individual,Manual,0
Yamaha FZ S ,2012,0.4,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,0.4,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,0.4,13700,Petrol,Individual,Manual,0
Activa 4g,2017,0.4,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,0.38,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,0.38,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,0.35,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,0.35,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,0.35,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,0.31,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,0.3,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,0.3,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,0.3,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,0.27,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,0.25,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,0.25,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,0.25,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,0.25,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,0.25,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,0.2,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,0.2,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,0.2,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,0.2,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,0.2,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,0.2,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,0.18,35000,Petrol,Individual,Manual,0
Activa 3g,2008,0.17,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,0.16,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,0.15,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,0.12,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,0.1,92233,Petrol,Individual,Manual,0
i20,2010,3.25,58000,Diesel,Dealer,Manual,1
grand i10,2015,4.4,28200,Petrol,Dealer,Manual,0
i10,2011,2.95,53460,Petrol,Dealer,Manual,0
eon,2015,2.75,28282,Petrol,Dealer,Manual,0
grand i10,2016,5.25,3493,Petrol,Dealer,Manual,1
xcent,2017,5.75,12479,Petrol,Dealer,Manual,0
grand i10,2015,5.15,34797,Petrol,Dealer,Automatic,0
i20,2017,7.9,3435,Petrol,Dealer,Manual,0
grand i10,2015,4.85,21125,Diesel,Dealer,Manual,0
i10,2012,3.1,35775,Petrol,Dealer,Manual,0
elantra,2015,11.75,43535,Diesel,Dealer,Manual,0
creta,2016,11.25,22671,Petrol,Dealer,Manual,0
i20,2011,2.9,31604,Petrol,Dealer,Manual,0
grand i10,2017,5.25,20114,Petrol,Dealer,Manual,0
verna,2012,4.5,36100,Petrol,Dealer,Manual,0
eon,2016,2.9,12500,Petrol,Dealer,Manual,0
eon,2016,3.15,15000,Petrol,Dealer,Manual,0
verna,2014,6.45,45078,Petrol,Dealer,Manual,0
verna,2012,4.5,36000,Petrol,Dealer,Manual,0
eon,2017,3.5,38488,Petrol,Dealer,Manual,0
i20,2013,4.5,32000,Petrol,Dealer,Automatic,0
i20,2014,6.0,77632,Diesel,Dealer,Manual,0
verna,2015,8.25,61381,Diesel,Dealer,Manual,0
verna,2013,5.11,36198,Petrol,Dealer,Automatic,0
i10,2011,2.7,22517,Petrol,Dealer,Manual,0
grand i10,2015,5.25,24678,Petrol,Dealer,Manual,0
i10,2011,2.55,57000,Petrol,Dealer,Manual,0
verna,2012,4.95,60000,Diesel,Dealer,Manual,0
i20,2012,3.1,52132,Diesel,Dealer,Manual,0
verna,2013,6.15,45000,Diesel,Dealer,Manual,0
verna,2017,9.25,15001,Petrol,Dealer,Manual,0
elantra,2015,11.45,12900,Petrol,Dealer,Automatic,0
grand i10,2013,3.9,53000,Diesel,Dealer,Manual,0
grand i10,2015,5.5,4492,Petrol,Dealer,Manual,0
verna,2017,9.1,15141,Petrol,Dealer,Manual,0
eon,2016,3.1,11849,Petrol,Dealer,Manual,0
creta,2015,11.25,68000,Diesel,Dealer,Manual,0
verna,2013,4.8,60241,Petrol,Dealer,Manual,0
eon,2012,2.0,23709,Petrol,Dealer,Manual,0
verna,2012,5.35,32322,Diesel,Dealer,Manual,0
xcent,2015,4.75,35866,Petrol,Dealer,Manual,1
xcent,2014,4.4,34000,Petrol,Dealer,Manual,0
i20,2016,6.25,7000,Petrol,Dealer,Manual,0
verna,2013,5.95,49000,Diesel,Dealer,Manual,0
verna,2012,5.2,71000,Diesel,Dealer,Manual,0
i20,2012,3.75,35000,Petrol,Dealer,Manual,0
verna,2015,5.95,36000,Petrol,Dealer,Manual,0
i10,2013,4.0,30000,Petrol,Dealer,Manual,0
i20,2016,5.25,17000,Petrol,Dealer,Manual,0
creta,2016,12.9,35934,Diesel,Dealer,Manual,0
city,2013,5.0,56701,Petrol,Dealer,Manual,0
brio,2015,5.4,31427,Petrol,Dealer,Automatic,0
city,2014,7.2,48000,Diesel,Dealer,Manual,0
city,2013,5.25,54242,Petrol,Dealer,Manual,0
brio,2012,3.0,53675,Petrol,Dealer,Manual,0
city,2016,10.25,49562,Petrol,Dealer,Manual,0
city,2015,8.5,40324,Petrol,Dealer,Manual,0
city,2015,8.4,25000,Petrol,Dealer,Manual,0
amaze,2014,3.9,36054,Petrol,Dealer,Manual,0
city,2016,9.15,29223,Petrol,Dealer,Manual,0
brio,2016,5.5,5600,Petrol,Dealer,Manual,0
amaze,2015,4.0,40023,Petrol,Dealer,Manual,0
jazz,2016,6.6,16002,Petrol,Dealer,Manual,0
amaze,2015,4.0,40026,Petrol,Dealer,Manual,0
jazz,2017,6.5,21200,Petrol,Dealer,Manual,0
amaze,2014,3.65,35000,Petrol,Dealer,Manual,0
city,2016,8.35,19434,Diesel,Dealer,Manual,0
brio,2017,4.8,19000,Petrol,Dealer,Manual,0
city,2015,6.7,18828,Petrol,Dealer,Manual,0
city,2011,4.1,69341,Petrol,Dealer,Manual,0
city,2009,3.0,69562,Petrol,Dealer,Manual,0
city,2015,7.5,27600,Petrol,Dealer,Manual,0
jazz,2010,2.25,61203,Petrol,Dealer,Manual,0
brio,2014,5.3,16500,Petrol,Dealer,Manual,0
city,2016,10.9,30753,Petrol,Dealer,Automatic,0
city,2015,8.65,24800,Petrol,Dealer,Manual,0
city,2015,9.7,21780,Petrol,Dealer,Manual,0
jazz,2016,6.0,4000,Petrol,Dealer,Manual,0
city,2014,6.25,40126,Petrol,Dealer,Manual,0
brio,2015,5.25,14465,Petrol,Dealer,Manual,0
city,2006,2.1,50456,Petrol,Dealer,Manual,0
city,2014,8.25,63000,Diesel,Dealer,Manual,0
city,2016,8.99,9010,Petrol,Dealer,Manual,0
brio,2013,3.5,9800,Petrol,Dealer,Manual,0
jazz,2016,7.4,15059,Petrol,Dealer,Automatic,0
jazz,2016,5.65,28569,Petrol,Dealer,Manual,0
amaze,2015,5.75,44000,Petrol,Dealer,Automatic,0
city,2015,8.4,34000,Petrol,Dealer,Manual,0
city,2016,10.11,10980,Petrol,Dealer,Manual,0
amaze,2014,4.5,19000,Petrol,Dealer,Manual,0
brio,2015,5.4,31427,Petrol,Dealer,Manual,0
jazz,2016,6.4,12000,Petrol,Dealer,Manual,0
city,2010,3.25,38000,Petrol,Dealer,Manual,0
amaze,2014,3.75,33019,Petrol,Dealer,Manual,0
city,2015,8.55,60076,Diesel,Dealer,Manual,0
city,2016,9.5,33988,Diesel,Dealer,Manual,0
brio,2015,4.0,60000,Petrol,Dealer,Manual,0
city,2009,3.35,87934,Petrol,Dealer,Manual,0
city,2017,11.5,9000,Diesel,Dealer,Manual,0
brio,2016,5.3,5464,Petrol,Dealer,Manual,0
